Group,Task,Mean_Amplitude_deg,SD_Amplitude_deg,Total_Saccades,N_Participants,SEM_Amplitude_deg
AD,Q1,11.038936227116837,2.5344188743572014,277,20,0.56671328865212
AD,Q2,12.659373488240647,2.957450367563078,275,20,0.6613060061952781
AD,Q3,12.847639007830168,2.528091708942971,211,20,0.5652984914550095
AD,Q4,13.785429528732905,2.2299371088839752,339,20,0.49862909610139183
AD,Q5,12.805296199995002,2.884039342741685,225,20,0.6448908020154221
Control,Q1,8.349295477029136,2.0913368165532717,40,15,0.5399808441214171
Control,Q2,9.82628339097539,4.3016989239553185,51,19,0.9868774155294152
Control,Q3,11.779974580241737,5.297008764594307,65,20,1.1844471675045052
Control,Q4,10.420930255552735,3.5720481604602012,75,19,0.8194840501529672
Control,Q5,10.148719403967876,3.681987103206006,70,20,0.8233173455046162
MCI,Q1,11.507817659001148,3.336527751623826,119,19,0.7654519627182754
MCI,Q2,12.556358837296278,3.7600036131109196,193,20,0.8407623674560836
MCI,Q3,14.365771666899306,6.98158909188988,113,20,1.5611307800436798
MCI,Q4,12.725347184540867,2.7649606811194865,352,20,0.6182640038097291
MCI,Q5,12.900927481132237,3.907089175549444,117,20,0.8736516990682165
